,best_epoch_mean,best_epoch_std,best_test_loss_mean,best_test_loss_std,datasetname,model,n_normflows,percent,test_error_rate_mean,test_error_rate_std,test_measures
228,46.7,86.0140104867,4.74298317301,0.839074003909,concrete,planarflow,3,0.25,8.02176609039,2.1829134779,best_val_loss
229,53.0,103.003883422,14.3480479836,3.99024036179,concrete,planarflow,4,0.25,9.86952376366,2.99630103735,best_val_loss
230,59.3,88.5415721568,16.4806180516,4.59219789923,concrete,planarflow,8,0.25,10.0794719219,3.00151655222,best_val_loss
231,0.0,0.0,,,concrete,planarflow,20,0.25,inf,,best_val_loss
232,182.1,322.203491601,2.98562620589,0.282434770282,concrete,planarflow,1,0.5,17.8204706192,0.695940352549,best_val_loss
233,72.6,118.822725099,2.94069081772,0.139553887581,concrete,planarflow,2,0.5,inf,,best_val_loss
234,77.5,116.612392137,3.05596034473,0.214196015831,concrete,planarflow,3,0.5,inf,,best_val_loss
235,54.6,87.9195086428,87.6713485273,16.0887959501,concrete,planarflow,4,0.5,17.3879201889,0.731557816371,best_val_loss
236,47.9,78.354897741,17.9271570446,3.56335008046,concrete,planarflow,8,0.5,9.70729179382,1.75617669011,best_val_loss
237,0.0,0.0,,,concrete,planarflow,20,0.5,inf,,best_val_loss
238,57.7,68.5376538846,22.8335436429,7.0860086039,concrete,planarflow,1,1.0,17.7235967636,0.85783396365,best_val_loss
239,54.8,73.2922915456,3.75213098125,0.953096906516,concrete,planarflow,2,1.0,inf,,best_val_loss
240,53.4,75.9634122456,3.04276768459,0.197552814212,concrete,planarflow,3,1.0,inf,,best_val_loss
