,batch_size,best_val_error,best_val_loss,datasetname,minus_log_s1,modelname,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_offset,opt_step_rate
196,10,2.36324477196,3.3463186855,energy,1,planarflow,8,0.9571221857,adam,0.000989787180952,0.000180066970598,0.001
197,1,inf,,energy,2,planarflow,20,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
198,100,0.793780148029,175.90249127,energy,6,planarflowdet,1,0.890482965686,adadelta,0.981279975932,1e-08,0.1
199,10,0.96217828989,0.624296210153,energy,4,planarflowdet,2,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001
200,10,2.16163539886,10.6758995801,energy,2,planarflowdet,3,0.801062959819,adam,0.00621770522485,0.000133685560718,0.001
201,1,2.80773901939,1.03645301092,energy,1,planarflowdet,4,0.937634133118,adam,0.00227692082866,0.000164599198995,0.001
202,100,5.01819705963,0.769702441692,energy,1,planarflowdet,8,0.890499733009,adadelta,0.940488548236,5e-05,0.1
203,10,7.26064872742,28.0447491237,energy,5,planarflowdet,20,0.934125143078,adam,0.0076485879586,0.00031200898421,0.1
204,100,16.0572719574,104736.196263,energy,6,radialflow,1,0.890482965686,adadelta,0.981279975932,1e-08,0.1
205,10,13.4833106995,564.07194681,energy,3,radialflow,2,0.858941739876,adam,0.923833365374,0.000105342291517,0.01
206,100,9.59667873383,15125.2687414,energy,5,radialflow,3,0.863813152227,adam,0.00259801689953,0.000569682746779,0.01
207,10,10.4964332581,353.187350497,energy,3,radialflow,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
208,1,3.11354994774,2.20656309993,energy,2,radialflow,8,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
209,1,inf,inf,energy,2,radialflow,20,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
210,1,0.508136093616,5.62661688668,energy,5,radialflowdet,1,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
211,10,0.456475108862,-0.993520391555,energy,4,radialflowdet,2,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001
212,1,0.429805189371,-1.63544751122,energy,1,radialflowdet,3,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
213,10,0.590421378613,-0.919701374599,energy,3,radialflowdet,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
214,1,0.568474173546,-1.28385700044,energy,1,radialflowdet,8,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
215,1,inf,168964.240402,energy,2,radialflowdet,20,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
216,1,0.272075802088,1.64395243603,kin8nm,6,baseline,1,0.981344134654,adam,0.859238109766,0.00046835743832,0.0001
