,best_val_error,best_val_loss,datasetname,modelname,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_step_rate
250,0.123569883406,2.41360562539,kin8nm,planarflow,8,0.983554581891,rmsprop,0.911135788228,0.001
251,inf,,kin8nm,planarflow,20,0.972426099398,adam,0.893157953082,0.1
252,0.0808380618691,0.218344256807,kin8nm,baselinedet,1,0.839135697624,rmsprop,0.00487890796763,0.01
253,0.0826634243131,0.227138508949,kin8nm,baselinedet,2,0.948955250765,rmsprop,0.970974994269,0.0001
254,0.0802663192153,0.207491639507,kin8nm,baselinedet,3,0.879320182305,adadelta,0.969514489555,0.1
255,0.0828348472714,0.241393050527,kin8nm,baselinedet,4,0.829611893513,rmsprop,0.0040930990225,0.01
256,0.0789703279734,0.191629921518,kin8nm,baselinedet,8,0.983554581891,rmsprop,0.911135788228,0.001
257,0.106528609991,0.471612242825,kin8nm,baselinedet,20,0.918582946022,rmsprop,0.00497246690821,0.01
258,0.323080360889,7.46998713355,kin8nm,baselineplus,1,0.972426099398,adam,0.893157953082,0.1
259,0.151987269521,1.65471772536,kin8nm,baselineplus,2,0.981344134654,adam,0.859238109766,0.0001
260,0.60902172327,4.8636115125,kin8nm,baselineplus,3,0.972426099398,adam,0.893157953082,0.1
261,0.145663663745,6.91505513454,kin8nm,baselineplus,4,0.937634133118,adam,0.00227692082866,0.001
262,0.372286349535,6.40231483687,kin8nm,baselineplus,8,0.983554581891,rmsprop,0.911135788228,0.001
263,1.45240950584,33.2812556238,kin8nm,baselineplus,20,0.972426099398,adam,0.893157953082,0.1
264,0.0742482542992,0.160152476654,kin8nm,baselinedetplus,1,0.839135697624,rmsprop,0.00487890796763,0.01
265,0.081119351089,0.188094038304,kin8nm,baselinedetplus,2,0.921663516074,adam,0.00617429367165,0.01
266,0.075839817524,0.16111515531,kin8nm,baselinedetplus,3,0.879320182305,adadelta,0.969514489555,0.1
267,0.0740230083466,0.128586239285,kin8nm,baselinedetplus,4,0.829611893513,rmsprop,0.0040930990225,0.01
268,0.0732005015016,0.122331179901,kin8nm,baselinedetplus,8,0.983554581891,rmsprop,0.911135788228,0.001
269,0.116873003542,0.570949606133,kin8nm,baselinedetplus,20,0.918582946022,rmsprop,0.00497246690821,0.01
